institution_id,index,institution_name,street_address,city,country_subdivision,postal_code,country,country_code,region,website,latitude,longitude,overall_score,overall_rank,reputation_global_rank,reputation_local_rank,papers_rank,books_rank,citations_rank,research_power_rank,collaboration_rank,highly_cited_proportion_rank,regional_rank,country_rank,conference_rank,street_address_line_2,total_acad_staff,num_acad_staff_intl,total_students,num_intl_students,ug_degrees,master_degrees,phd_degrees,res_staff,ug_intake,mstrs_intake,phd_intake,is_tied_global,is_tied_regional,is_tied_country,keyword
166027,96,Harvard University,,Cambridge,MA,02138,United States,US,North America,http://www.harvard.edu/,42.3774,-71.1244,100,1,1,1,1,2,29,1,100,9,1,1,101,,2280,456,21261,5217,1817,4710,1547,2075,1700,3516,1446,false,false,false,harvarduniversity
166683,100,Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,02139,United States,US,North America,http://web.mit.edu/,42.3656,-71.1041,97.9,2,2,3,29,29,8,10,50,3,2,2,8,,1338,525,11276,3806,1045,1800,645,5046,1118,1564,599,false,false,false,massachusettsinstituteoftechnology
243744,251,Stanford University,,Stanford,CA,94305,United States,US,North America,http://www.stanford.edu,37.4249,-122.1647,95.3,3,3,2,8,25,13,2,167,5,3,3,34,,2205,788,16223,3727,1754,2439,1001,3285,1703,1726,1030,false,false,false,stanforduniversity
110635,17,University of California--Berkeley,110 Sproul Hall,Berkeley,CA,94720-5800,United States,US,North America,http://berkeley.edu/,37.8686,-122.2618,89.8,4,5,4,27,7,45,15,85,13,4,4,38,,2017,503,39918,6961,8213,2999,1240,1281,9197,2421,1187,false,false,false,universityofcaliforniaberkeley
503637,584,University of Oxford,Wellington Square,Oxford,,OX1 2JD,United Kingdom,GB,Europe,http://www.ox.ac.uk/,51.757351,-1.262382,87,5,6,15,5,1,57,4,305,40,1,1,93,,,,,,,,,,,,,false,false,false,universityofoxford
190150,139,Columbia University,2960 Broadway,New York,NY,10027,United States,US,North America,http://www.columbia.edu,40.8109,-73.9523,86.7,6,12,8,20,6,39,12,188,25,5,5,178,,4767,1120,27384,10602,1597,,1350,2158,1405,,1010,false,false,false,columbiauniversity
110404,11,California Institute of Technology,1200 E. California Boulevard,Pasadena,CA,91125,United States,US,North America,http://www.caltech.edu,34.1359,-118.1257,86.3,7,10,13,166,425,19,92,29,4,6,6,89,,354,105,2238,737,229,161,191,673,235,16,229,false,false,false,californiainstituteoftechnology
236948,242,University of Washington,,Seattle,WA,98195,United States,US,North America,http://www.washington.edu,47.6542,-122.3121,86,8,25,16,14,85,35,7,349,22,7,7,116,,4312,748,46258,7659,7988,3949,1371,1983,8869,3782,2094,false,false,false,universityofwashington
502149,458,University of Cambridge,Trinity Lane,Cambridge,,CB2 1TN,United Kingdom,GB,Europe,http://www.cam.ac.uk/,52.206389,0.116889,85.8,9,4,13,13,3,64,9,284,34,2,2,97,,1750,610,19580,7305,3275,2790,1115,4005,3445,2495,1155,false,false,false,universityofcambridge
162928,89,Johns Hopkins University,3400 N. Charles Street,Baltimore,MD,21218,United States,US,North America,http://www.jhu.edu,39.3261,-76.6096,85.1,10,18,11,6,47,65,6,218,55,8,8,139,,3715,739,16432,4445,1523,6100,754,2779,1492,2743,768,false,false,false,johnshopkinsuniversity
186131,132,Princeton University,,Princeton,NJ,08544,United States,US,North America,http://www.princeton.edu,40.3449,-74.6566,85,11,8,7,161,66,21,90,81,8,9,9,216,,1015,328,8091,1845,1299,599,396,872,1305,172,498,true,true,true,princetonuniversity
130794,39,Yale University,,New Haven,CT,06520,United States,US,North America,http://www.yale.edu/,41.3099,-72.9281,85,11,9,9,34,14,46,19,266,19,9,9,455,,2150,423,12910,2633,1313,2281,772,2046,1584,1712,864,true,true,true,yaleuniversity
110662,20,University of California--Los Angeles,405 Hilgard Avenue,Los Angeles,CA,90095,United States,US,North America,http://www.ucla.edu/,34.0689,-118.4448,84.3,13,7,6,17,23,98,13,236,68,11,11,94,,5565,1077,42509,7174,9116,3390,1343,951,8816,3164,1406,false,false,false,universityofcalifornialosangeles
215062,192,University of Pennsylvania,,Philadelphia,PA,19104,United States,US,North America,http://www.upenn.edu,39.9579,-75.2004,84.2,14,17,12,16,18,52,11,934,24,12,12,214,,3226,761,20771,4462,2808,3950,1221,1672,2428,,1295,false,false,false,universityofpennsylvania
