id,url,name,city,country_name,three_digit_country_code,global_rank_values,is_ranked,is_tied,global_score,enrollment
166027,https://www.usnews.com/education/best-global-universities/harvard-university-166027,Harvard University,Cambridge (U.S.),United States,USA,1,false,true,100.0,100.0
166683,https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683,Massachusetts Institute of Technology,Cambridge (U.S.),United States,USA,2,false,true,97.9,97.9
243744,https://www.usnews.com/education/best-global-universities/stanford-university-243744,Stanford University,Stanford,United States,USA,3,false,true,95.3,95.3
110635,https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635,University of California--Berkeley,Berkeley,United States,USA,4,false,true,89.8,89.8
503637,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637,University of Oxford,Oxford,United Kingdom,GBR,5,false,true,87.0,87.0
190150,https://www.usnews.com/education/best-global-universities/columbia-university-190150,Columbia University,New York City,United States,USA,6,false,true,86.7,86.7
110404,https://www.usnews.com/education/best-global-universities/california-institute-of-technology-110404,California Institute of Technology,Pasadena,United States,USA,7,false,true,86.3,86.3
236948,https://www.usnews.com/education/best-global-universities/university-of-washington-236948,University of Washington,Seattle,United States,USA,8,false,true,86.0,86.0
502149,https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149,University of Cambridge,Cambridge (U.K.),United Kingdom,GBR,9,false,true,85.8,85.8
162928,https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928,Johns Hopkins University,Baltimore,United States,USA,10,false,true,85.1,85.1
186131,https://www.usnews.com/education/best-global-universities/princeton-university-186131,Princeton University,Princeton,United States,USA,11,true,true,85.0,85.0
130794,https://www.usnews.com/education/best-global-universities/yale-university-130794,Yale University,New Haven,United States,USA,11,true,true,85.0,85.0
110662,https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662,University of California--Los Angeles,Los Angeles,United States,USA,13,false,true,84.3,84.3
215062,https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062,University of Pennsylvania,Philadelphia,United States,USA,14,false,true,84.2,84.2
110699,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699,University of California--San Francisco,San Francisco,United States,USA,15,true,true,84.1,84.1
144050,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050,University of Chicago,Chicago,United States,USA,15,true,true,84.1,84.1
170976,https://www.usnews.com/education/best-global-universities/university-of-michigan-ann-arbor-170976,University of Michigan--Ann Arbor,Ann Arbor,United States,USA,17,true,true,83.5,83.5
499968,https://www.usnews.com/education/best-global-universities/university-of-toronto-499968,University of Toronto,Toronto,Canada,CAN,17,true,true,83.5,83.5
501693,https://www.usnews.com/education/best-global-universities/university-college-london-501693,University College London,London (U.K.),United Kingdom,GBR,19,false,true,83.4,83.4
